Category_ID,Visitors,Reg Customers,Purchasing Customers,Regd Purchasing Customers,Repeat customers,Sales,Valid Transactions,Packet Size
1,498,108,0,0,0,0,0,0
1,1092,751,481,399,156,160692,930,172.7870968
1,928,585,470,461,221,195944,522,375.3716475
1,960,735,491,427,167,332748,700,475.3542857
1,954,640,519,436,231,359644,815,441.2809816
1,1279,902,603,464,204,407511,665,612.7984962
1,1070,755,655,491,201,254736,760,335.1789474
1,570,215,0,0,0,0,0,0
1,1286,888,616,591,272,452454,1091,414.7149404
1,1180,892,619,433,230,447951,1158,386.8316062
1,1061,708,592,551,165,186808,781,239.190781
1,1008,790,542,520,276,495180,546,906.9230769
1,998,758,588,465,158,571380,807,708.0297398
1,949,732,550,429,210,374000,767,487.6140808
1,439,103,0,0,0,0,0,0
1,1056,665,469,427,175,128628,714,180.1512605
1,1033,726,476,367,205,265512,767,346.1694915
1,836,631,499,374,195,144590,539,268.2560297
1,958,589,450,365,215,128960,565,228.2477876
1,1136,796,502,382,175,431013,762,565.6338583
1,1196,835,630,580,197,166386,1222,136.1587561
1,489,133,0,0,0,0,0,0
1,1169,828,628,540,286,611930,926,660.8315335
1,1132,860,635,533,315,291200,831,350.4211793
1,913,660,496,491,285,177584,704,252.25
1,924,698,485,349,126,269541,743,362.7738896
1,1129,767,542,461,221,275110,736,373.7907609
1,1079,732,628,603,253,272532,830,328.3518072
1,349,144,0,0,0,0,0,0
1,1065,796,511,414,145,458150,677,676.7355982
1,1076,698,448,314,122,188160,743,253.243607
1,954,598,443,416,242,280575,525,534.4285714
1,883,651,512,430,129,176962,842,210.1686461
1,940,702,471,344,168,259155,871,297.5373134
1,940,680,548,438,162,155822,917,169.9258451
1,514,168,0,0,0,0,0,0
1,1187,925,640,550,314,186248,1057,176.2043519
1,1055,812,583,577,300,183838,976,188.3586066
1,1199,818,539,453,222,236866,765,309.6287582
1,1058,681,526,410,156,523940,731,716.744186
1,1190,842,552,546,219,227424,744,305.6774194
1,1186,848,571,428,197,234549,872,268.978211
1,414,208,0,0,0,0,0,0
1,1021,700,497,403,221,401357,881,455.569807
1,1140,782,496,456,214,414960,861,481.9512195
1,1093,735,528,502,241,278249,595,467.6453782
1,1000,774,501,426,192,296100,970,305.257732
1,1079,739,507,416,141,134388,973,138.1171634
1,951,736,570,410,168,146355,631,231.9413629
1,399,146,0,0,0,0,0,0
1,1230,925,693,575,265,537437,732,734.2035519
1,1154,886,672,605,200,576228,719,801.4297636
1,1161,885,662,662,311,325431,1305,249.3724138
1,1242,945,703,598,359,468160,745,628.4026846
1,469,202,0,0,0,0,0,0
1,1156,839,642,507,243,223098,786,283.8396947
1,370,147,0,0,0,0,0,0
1,564,232,0,0,0,0,0,0
1,1145,801,563,400,240,495960,1025,483.8634146
1,1025,675,434,334,137,275078,671,409.95231
1,857,576,461,420,206,388240,475,817.3473684
1,988,661,468,454,150,441490,555,795.4774775
1,1061,708,535,508,274,299175,725,412.6551724
1,518,289,0,0,0,0,0,0
1,1188,824,607,498,199,263424,835,315.4778443
1,1111,749,628,528,200,491609,810,606.9246914
1,1150,880,624,468,192,475470,970,490.1752577
1,407,188,0,0,0,0,0,0
1,1322,980,732,644,206,285180,1447,197.0836213
1,1225,922,633,494,257,489322,1082,452.2384473
1,529,284,0,0,0,0,0,0
1,1111,798,615,597,292,479250,979,489.5301328
1,1032,794,585,562,320,293190,891,329.0572391
1,1020,771,604,525,179,203000,730,278.0821918
1,1011,780,614,534,262,537866,986,545.5030426
1,1109,852,622,541,184,487041,976,499.017418
1,1013,810,710,710,398,575616,1163,494.9406707
1,429,131,0,0,0,0,0,0
1,1182,850,555,500,280,221592,819,270.5641026
1,782,566,449,413,194,226240,703,321.8207681
1,1146,749,474,446,241,337610,755,447.1655629
1,1021,778,491,378,159,373256,928,402.2155172
1,1077,761,479,474,185,274273,724,378.8301105
1,941,696,512,364,124,215745,644,335.007764
1,498,189,0,0,0,0,0,0
1,998,734,608,596,316,445323,617,721.7552674
1,1054,722,549,489,181,525263,1072,489.9841418
1,933,687,510,367,209,292264,996,293.437751
1,1066,737,481,380,175,296478,956,310.123431
1,870,649,526,484,203,188784,687,274.7947598
1,868,626,516,480,269,242422,559,433.6708408
1,612,262,0,0,0,0,0,0
1,983,734,494,395,166,422496,818,516.4987775
1,1144,774,511,465,279,242231,653,370.9509954
1,964,741,581,442,190,438520,968,453.0165289
1,502,233,0,0,0,0,0,0
1,1089,833,628,496,278,643433,820,784.6743902
1,1069,713,560,521,245,483545,1031,469.0058196
1,590,218,0,0,0,0,0,0
1,1166,905,609,499,160,449254,659,681.7207891
1,951,713,593,498,189,174034,1079,161.291937
1,986,729,570,553,227,345114,790,436.8531646
1,1214,858,585,579,220,295568,1043,283.3825503
1,1120,769,575,552,248,411431,991,415.1675076
1,1056,789,555,422,165,187074,858,218.034965
1,506,184,0,0,0,0,0,0
1,384,156,0,0,0,0,0,0
1,912,691,560,437,144,437665,1059,413.2813975
1,1036,721,535,401,144,159866,766,208.7023499
1,1042,650,489,396,131,144378,671,215.1684054
1,838,615,498,423,157,234060,787,297.407878
1,939,694,562,427,209,437644,1057,414.0435194
1,486,286,0,0,0,0,0,0
1,1219,828,529,370,178,445284,664,670.6084337
1,1018,808,594,588,194,450060,1073,419.4408201
1,1159,841,567,454,213,557136,1026,543.0175439
1,515,116,0,0,0,0,0,0
1,1218,931,709,652,313,413530,852,485.3638498
1,857,615,496,382,137,414128,622,665.8006431
1,435,121,0,0,0,0,0,0
1,1052,690,456,392,169,300400,554,542.2382671
1,1028,710,444,391,133,284835,741,384.3927126
1,927,685,440,427,175,424878,552,769.7065217
1,801,502,368,283,159,310637,391,794.4680307
1,932,694,501,446,183,329558,750,439.4106667
1,1124,795,566,441,238,547172,577,948.305026
1,574,227,0,0,0,0,0,0
1,1000,782,641,564,316,510682,814,627.3734644
1,1057,806,533,432,151,544628,922,590.70282
1,1157,814,560,431,250,175474,813,215.8351784
1,860,617,514,509,183,561208,643,872.7962675
1,1077,713,450,324,156,398475,876,454.880137
1,912,706,589,454,227,445136,837,531.823178
1,403,188,0,0,0,0,0,0
1,1010,735,505,439,202,439192,614,715.2964169
1,1012,616,510,428,206,489720,690,709.7391304
1,897,632,485,451,239,163162,964,169.2551867
1,963,753,472,330,192,276834,474,584.0379747
1,798,581,463,407,244,257280,643,400.1244168
1,1077,764,531,467,150,149906,867,172.9019608
1,350,126,0,0,0,0,0,0
1,1138,764,532,500,195,513383,797,644.1442911
1,1017,802,538,409,245,206622,870,237.4965517
1,1046,766,566,532,277,168144,666,252.4684685
1,973,737,525,483,159,515350,1004,513.2968127
1,1025,798,506,374,225,165924,909,182.5346535
1,905,669,477,363,163,171528,886,193.5981941
1,549,228,0,0,0,0,0,0
1,1044,652,528,385,123,171266,739,231.7537212
1,1060,780,495,431,168,322506,550,586.3745455
1,934,729,476,333,170,194106,923,210.2990249
1,839,605,494,405,186,131609,948,138.8280591
1,944,690,461,461,235,420522,743,565.9784657
1,1003,608,488,425,234,362610,648,559.5833333
1,536,165,0,0,0,0,0,0
1,954,684,584,537,269,220252,1066,206.6153846
1,1109,833,591,485,170,383396,767,499.8644068
1,1015,701,587,487,263,592596,1168,507.359589
1,1226,842,575,518,228,413586,809,511.2311496
1,1176,808,572,412,227,246862,1086,227.3130755
1,1082,797,555,477,253,454176,804,564.8955224
1,501,190,0,0,0,0,0,0
1,1113,847,592,420,223,288405,625,461.448
1,1127,832,620,502,181,315114,678,464.7699115
1,1043,807,575,431,190,368253,687,536.0305677
1,1068,770,480,442,199,191084,924,206.8008658
1,921,644,503,357,207,485159,811,598.2231813
1,1039,666,504,479,225,354790,727,488.0192572
1,513,236,0,0,0,0,0,0
1,1103,796,505,439,264,431346,945,456.4507937
1,812,578,421,328,128,299390,598,500.6521739
1,1050,732,496,412,124,378417,821,460.9220463
1,909,586,481,337,155,332010,827,401.4631197
1,982,726,479,460,147,314664,714,440.7058824
1,1077,703,544,517,284,402675,588,684.8214286
1,531,238,0,0,0,0,0,0
1,1169,862,598,550,270,624153,941,663.2869288
1,1082,751,528,438,131,508620,615,827.0243902
1,1058,745,467,336,138,136960,906,151.1699779
1,1027,661,484,411,152,367795,777,473.3526384
1,996,730,461,452,217,405042,761,532.2496715
1,896,623,469,427,128,236412,895,264.147486
1,495,254,0,0,0,0,0,0
1,1044,662,449,391,234,143388,786,182.4274809
1,833,601,460,345,128,234324,750,312.432
1,1038,663,421,387,128,339984,524,648.8244275
1,1055,704,467,360,133,219520,626,350.6709265
1,867,621,439,364,179,375293,834,449.9916067
1,1032,701,518,513,297,245640,834,294.5323741
1,340,119,0,0,0,0,0,0
1,1095,805,561,471,250,617432,984,627.4715447
1,1073,727,564,530,270,430688,831,518.276775
1,1011,805,539,383,161,502778,784,641.2984694
1,921,695,507,416,241,165148,584,282.7876712
1,1171,815,553,481,250,480012,1105,434.4
1,1094,772,515,453,218,475080,927,512.4919094
1,525,176,0,0,0,0,0,0
1,937,697,530,509,219,341868,723,472.846473
1,982,649,439,320,183,388355,833,466.212485
1,947,655,448,327,157,219425,539,407.096475
1,936,568,437,336,114,172992,470,368.0680851
1,931,607,501,491,167,273420,656,416.7987805
1,1113,791,508,452,253,328790,761,432.0499343
1,600,279,0,0,0,0,0,0
1,1092,836,545,523,288,345825,610,566.9262295
1,901,611,511,465,205,486291,959,507.0813347
1,1125,736,490,446,174,249831,923,270.6728061
1,959,742,447,389,121,291720,556,524.676259
1,850,602,485,383,172,255936,652,392.5398773
1,1026,758,500,500,185,430210,930,462.5913978
1,453,200,0,0,0,0,0,0
1,1003,763,466,354,170,342452,651,526.0399386
1,858,638,437,350,133,115838,584,198.3527397
1,882,594,465,456,255,132795,690,192.4565217
1,1036,671,378,355,181,182188,444,410.3333333
1,915,567,442,367,128,309584,493,627.959432
1,998,735,464,408,139,313120,682,459.1202346
1,473,241,0,0,0,0,0,0
1,990,752,566,526,295,432960,1039,416.7083734
1,1010,701,550,413,210,368925,1039,355.0769971
1,1077,715,554,504,176,457064,876,521.7625571
1,1042,721,601,583,315,237600,781,304.2253521
1,458,241,0,0,0,0,0,0
1,1225,878,621,466,149,417690,676,617.8846154
1,407,115,0,0,0,0,0,0
1,1025,762,608,559,274,534798,1015,526.8945813
1,1121,839,556,395,229,179487,583,307.8679245
1,1118,734,518,383,161,400464,1033,387.6708616
1,973,707,527,390,164,395590,577,685.5979203
1,1085,774,539,523,314,382452,800,478.065
1,1097,837,557,529,159,498015,817,609.5654835
1,538,215,0,0,0,0,0,0
1,1141,755,492,438,162,181485,980,185.1887755
1,1135,747,476,424,254,121473,583,208.3584906
1,974,679,451,325,153,169875,709,239.5980254
1,920,705,436,401,136,181790,559,325.2057245
1,998,625,500,355,202,193440,832,232.5
1,1002,614,497,492,261,166760,591,282.1658206
1,548,274,0,0,0,0,0,0
1,1037,776,560,532,229,246556,886,278.2799097
1,1073,754,547,487,175,304070,666,456.5615616
1,1093,795,566,458,147,306684,1127,272.1242236
1,1008,763,476,443,137,482328,522,924
1,1000,621,495,490,284,394424,553,713.244123
1,1120,755,539,415,166,514752,779,660.7856226
1,549,254,0,0,0,0,0,0
1,884,612,475,428,162,447300,635,704.4094488
1,809,605,439,426,170,248936,807,308.4708798
1,944,619,449,445,164,432515,851,508.2432432
1,1121,783,492,453,190,210184,712,295.2022472
1,1025,776,512,374,153,441066,695,634.6273381
1,1262,902,731,665,286,653200,1337,488.5564697
1,436,203,0,0,0,0,0,0
1,1036,791,625,494,188,614985,960,640.609375
1,1166,780,586,557,278,204867,843,243.0213523
1,1003,678,539,469,258,580560,713,814.2496494
1,980,668,527,474,166,287100,685,419.1240876
1,1050,684,582,477,224,349740,790,442.7088608
1,1009,702,546,475,176,415360,880,472
1,448,236,0,0,0,0,0,0
1,1029,804,578,405,158,273700,982,278.7169043
1,1112,846,555,444,266,537480,695,773.352518
1,1096,789,533,421,202,294651,914,322.3752735
1,986,677,471,424,212,201188,880,228.6227273
1,1000,729,603,488,239,597408,1183,504.9940828
1,1080,813,614,454,259,481799,1222,394.2708674
1,523,227,0,0,0,0,0,0
1,975,723,491,403,225,107460,644,166.863354
1,1149,769,529,439,193,357880,932,383.9914163
1,1038,725,494,366,212,214170,736,290.9918478
1,1186,834,635,622,230,347410,726,478.5261708
1,1073,757,570,399,227,248076,598,414.8428094
1,1152,818,678,597,292,660937,812,813.9618227
1,497,115,0,0,0,0,0,0
1,1147,798,694,569,239,221918,1121,197.9643176
1,1106,718,610,458,201,407050,834,488.0695444
1,1063,764,611,599,240,340992,1010,337.6158416
1,1199,827,668,581,186,706560,945,747.6825397
1,1211,854,711,675,405,410115,828,495.307971
1,1315,952,749,644,348,310904,1341,231.8448919
1,651,271,0,0,0,0,0,0
1,1304,932,723,687,288,649440,833,779.6398559
1,1239,848,717,717,301,607898,1224,496.6486928
1,1170,849,695,688,378,522774,770,678.9272727
1,1152,930,681,518,191,736680,964,764.1908714
1,1190,938,712,548,247,223452,1120,199.5107143
1,1198,909,746,597,269,736015,1366,538.8103953
1,497,273,0,0,0,0,0,0
1,937,723,610,494,296,561660,668,840.8083832
1,1064,727,559,397,191,438845,732,599.5150273
1,1138,827,619,477,181,162195,741,218.8866397
1,1127,884,587,417,250,166980,617,270.6320908
1,1077,725,617,555,172,627011,745,841.6255034
1,1229,976,850,748,434,748089,1121,667.3407672
1,474,152,0,0,0,0,0,0
1,1219,979,871,697,307,661658,1538,430.206762
1,1351,969,823,576,288,309560,909,340.550055
1,1316,974,791,767,338,315966,896,352.640625
1,1373,1006,841,622,193,482670,1249,386.4451561
1,1385,1148,884,725,399,408132,976,418.1680328
1,1528,1259,962,895,483,803232,1658,484.4583836
1,449,167,0,0,0,0,0,0
1,1468,1267,1080,886,354,475881,1881,252.9936204
1,1465,1251,957,775,256,278565,1403,198.5495367
1,881,561,421,307,169,215881,798,270.5275689
1,559,274,0,0,0,0,0,0
1,572,184,0,0,0,0,0,0
1,1204,826,684,629,365,520902,859,606.4051222
1,429,208,0,0,0,0,0,0
1,1280,940,700,693,347,381317,962,396.3794179
1,1170,854,703,598,185,193980,849,228.4805654
1,807,493,327,255,133,182350,601,303.4109817
2,466,126,0,0,0,0,0,0
2,1094,709,531,404,190,206745,635,325.5826772
2,1071,790,560,498,159,417774,1053,396.7464387
2,912,544,321,257,128,287040,533,538.5365854
2,517,120,0,0,0,0,0,0
2,1216,1008,823,642,347,798432,842,948.2565321
2,1355,993,727,611,342,636999,1246,511.2351525
2,1311,1090,796,645,368,646506,850,760.5952941
2,972,751,643,502,276,261483,1270,205.892126
2,1280,883,628,496,268,180110,1114,161.6786355
2,922,584,358,272,128,129240,478,270.376569
2,509,170,0,0,0,0,0,0
2,1057,757,552,431,237,334620,565,592.2477876
2,1090,690,497,383,207,302040,518,583.0888031
2,1294,932,673,586,334,462386,1244,371.692926
2,1191,793,507,466,149,383808,947,405.2882788
2,1123,770,480,389,214,177928,857,207.6172695
2,715,431,322,232,72,152317,328,464.3810976
2,419,201,0,0,0,0,0,0
2,1219,942,739,613,343,290362,1020,284.6686275
2,1150,940,691,622,255,367584,1135,323.8625551
2,1067,785,680,524,220,610512,1078,566.3376623
2,1078,821,531,504,151,551100,989,557.2295248
2,1010,773,531,515,299,192741,766,251.6201044
2,681,418,290,209,109,145536,389,374.1285347
2,357,156,0,0,0,0,0,0
2,1077,803,507,487,248,352260,697,505.3945481
2,1069,707,497,408,245,404470,702,576.1680912
2,1016,766,567,431,215,270396,652,414.7177914
2,925,675,493,414,170,375046,645,581.4666667
2,1058,849,550,385,212,211968,1015,208.835468
2,817,612,353,339,102,114231,461,247.7895879
2,434,151,0,0,0,0,0,0
2,1392,1030,791,657,394,855152,1227,696.9453953
2,994,779,671,570,308,773960,1019,759.52895
2,1396,1050,820,582,262,820572,886,926.1534989
2,1323,943,670,503,221,643284,1305,492.937931
2,919,680,565,509,203,145440,1105,131.6199095
2,956,600,331,252,101,126684,543,233.3038674
2,493,252,0,0,0,0,0,0
2,951,705,532,404,226,236354,901,262.3240844
2,1114,754,532,527,226,474552,985,481.7786802
2,1253,895,654,621,336,528432,1248,423.4230769
2,948,743,498,483,232,358706,853,420.5228605
2,903,694,527,480,158,224848,594,378.5319865
2,968,568,300,252,106,296062,337,878.5222552
2,352,118,0,0,0,0,0,0
2,1315,1029,761,594,326,894912,767,1166.769231
2,1170,789,644,496,248,269055,1048,256.7318702
2,1226,1004,774,627,370,224665,828,271.3345411
2,1108,792,584,508,239,471295,708,665.670904
2,943,684,527,385,181,205970,642,320.8255452
2,805,437,316,228,82,228107,631,361.5007924
2,475,216,0,0,0,0,0,0
2,996,729,499,449,135,393294,613,641.588907
2,1094,770,489,391,176,278080,643,432.4727838
2,1116,821,632,480,288,491184,892,550.6547085
2,1014,792,493,478,249,315842,788,400.8147208
2,1029,702,555,394,236,378400,641,590.3276131
2,916,568,373,339,132,271350,666,407.4324324
2,502,142,0,0,0,0,0,0
2,1195,963,760,752,301,344604,1116,308.7849462
2,1266,921,630,485,286,348348,1219,285.7653815
2,1236,915,802,682,348,377440,892,423.1390135
2,1025,791,611,483,198,181055,1216,148.8939145
2,1174,828,593,468,215,611900,651,939.9385561
2,823,614,353,339,163,208999,505,413.8594059
2,538,160,0,0,0,0,0,0
2,1167,813,516,413,248,208945,953,219.2497377
2,1095,703,501,486,151,135850,983,138.1993896
2,1180,812,658,474,199,517653,982,527.1415479
2,1007,682,551,408,224,387996,873,444.4398625
2,1022,705,430,387,178,116235,664,175.0527108
2,776,564,333,326,127,243698,528,461.5492424
2,616,278,0,0,0,0,0,0
2,1177,891,743,646,265,486726,746,652.4477212
2,997,788,644,592,249,452790,736,615.2038043
2,1180,945,747,665,239,225900,1202,187.936772
2,1117,857,574,448,161,301950,626,482.3482428
2,959,708,551,474,152,239664,1002,239.1856287
2,802,591,314,257,77,184968,352,525.4772727
2,453,116,0,0,0,0,0,0
2,1159,807,523,507,213,428230,1017,421.0717797
2,1103,754,503,463,241,257418,770,334.3090909
2,1026,818,682,498,159,424956,1195,355.6117155
2,1027,758,523,371,178,326250,626,521.1661342
2,1093,742,489,469,155,171951,944,182.1514831
2,841,626,328,308,173,337800,421,802.3752969
2,463,174,0,0,0,0,0,0
2,1557,1188,963,876,272,356688,1411,252.7909284
2,1000,719,587,470,155,461890,854,540.8548009
2,1274,1044,825,784,306,568053,1433,396.4082345
2,1020,745,581,494,193,162496,878,185.0751708
2,1092,851,566,408,155,491568,789,623.026616
2,680,441,330,254,132,175230,635,275.9527559
2,563,261,0,0,0,0,0,0
2,1076,751,528,396,238,224637,790,284.3506329
2,994,738,519,394,221,492250,931,528.7325456
2,1261,977,706,579,208,606756,866,700.6420323
2,1000,654,471,377,200,221460,919,240.9793254
2,1005,659,516,387,132,253854,749,338.9238985
2,878,580,328,276,124,288288,637,452.5714286
2,365,145,0,0,0,0,0,0
2,1413,1021,758,743,386,794542,820,968.9536585
2,1395,1011,747,605,321,662286,1296,511.0231481
2,1370,1023,876,718,316,578043,1272,454.4363208
2,1258,997,737,730,248,332350,763,435.5832241
2,547,229,0,0,0,0,0,0
2,804,587,465,363,181,464352,728,637.8461538
2,359,136,0,0,0,0,0,0
2,451,180,0,0,0,0,0,0
2,1007,751,573,401,221,190017,1010,188.1356436
2,1059,847,655,629,189,313962,1226,256.08646
2,1135,811,515,489,166,209475,621,337.3188406
2,950,696,489,347,208,284625,642,443.3411215
2,833,494,335,308,123,137751,637,216.2496075
2,439,180,0,0,0,0,0,0
2,1188,860,667,654,353,234720,1299,180.6928406
2,1182,973,707,580,290,320016,973,328.8961973
2,1373,1097,943,773,418,321132,1437,223.473904
2,366,155,0,0,0,0,0,0
2,1229,968,743,572,332,688896,1025,672.0936585
2,989,593,369,266,88,157304,631,249.2931854
2,519,200,0,0,0,0,0,0
2,1264,1020,751,526,226,477972,1287,371.3846154
2,1133,807,628,465,223,269640,1201,224.5129059
2,1207,896,780,546,229,296252,1435,206.4473868
2,1211,851,626,551,248,370872,1251,296.4604317
2,1220,1014,743,713,342,484299,1398,346.4227468
2,778,475,316,221,86,72900,472,154.4491525
2,524,186,0,0,0,0,0,0
2,1160,843,546,399,239,274060,656,417.7743902
2,1034,816,530,514,195,214596,1024,209.5664063
2,1125,915,664,591,349,385400,1010,381.5841584
2,1044,715,518,440,229,295776,697,424.3558106
2,999,755,528,407,175,445922,779,572.4287548
2,856,647,352,271,127,238008,400,595.02
2,549,188,0,0,0,0,0,0
2,1117,902,734,624,200,664620,1411,471.02764
2,1010,757,629,616,210,561895,1056,532.0975379
2,1235,987,753,587,206,407632,1083,376.3915051
2,1097,838,582,489,269,342090,1045,327.3588517
2,1023,716,555,527,221,528220,1093,483.2753888
2,867,615,334,291,166,176120,576,305.7638889
2,600,289,0,0,0,0,0,0
2,946,705,547,383,142,221169,863,256.2792584
2,862,641,513,477,181,238478,875,272.5462857
2,1212,932,652,496,292,530706,808,656.8143564
2,593,274,0,0,0,0,0,0
2,1234,1017,743,602,331,233454,1480,157.7391892
2,1120,739,485,393,185,200804,574,349.8327526
2,419,195,0,0,0,0,0,0
2,1265,931,775,581,256,278160,781,356.1587708
2,1053,796,641,449,256,533805,928,575.2209052
2,1464,1165,877,781,414,686588,1737,395.2723086
2,1259,902,657,572,309,613571,965,635.8248705
2,1090,748,602,572,172,562104,701,801.8601997
2,948,672,384,361,159,153329,654,234.4480122
2,378,123,0,0,0,0,0,0
2,557,159,0,0,0,0,0,0
2,1167,821,526,463,236,193732,686,282.4081633
2,1270,889,670,503,281,398080,876,454.4292237
2,1264,897,632,506,303,549822,816,673.8014706
2,1083,807,544,511,235,497912,740,672.8540541
2,911,566,337,324,129,318670,543,586.8692449
2,438,200,0,0,0,0,0,0
2,1270,908,748,621,261,621096,953,651.7271773
2,1051,809,625,575,253,343970,774,444.4056848
2,1184,972,775,651,195,592200,1476,401.2195122
2,1146,754,617,506,253,327060,1230,265.902439
2,945,652,538,506,212,544068,759,716.8221344
2,756,519,324,230,99,299166,625,478.6656
2,430,172,0,0,0,0,0,0
2,999,738,559,503,257,394402,820,480.9780488
2,971,604,496,432,198,242368,992,244.3225806
2,1169,866,613,435,178,347991,648,537.0231481
2,1010,720,542,461,240,366705,1077,340.4874652
2,1041,752,552,480,226,339158,782,433.7058824
2,883,485,340,296,145,195656,418,468.076555
2,494,211,0,0,0,0,0,0
2,1492,1254,1021,715,293,929334,1277,727.7478465
2,1232,835,646,536,290,250884,1084,231.4428044
2,1392,1117,821,632,221,748399,1590,470.691195
2,1341,1068,888,746,358,454272,1200,378.56
2,1678,1321,1133,1133,578,265200,1200,221
2,1508,1179,1013,861,413,258752,1344,192.5238095
2,457,227,0,0,0,0,0,0
2,1030,714,522,381,164,425967,719,592.4436718
2,957,646,538,387,209,120270,797,150.9033877
2,1059,845,568,568,250,220896,1129,195.656333
2,909,676,507,497,184,524055,840,623.875
2,1122,744,494,430,163,136080,648,210
2,845,610,340,320,166,190808,544,350.75
2,590,283,0,0,0,0,0,0
2,1306,986,714,643,218,617232,1157,533.4762316
2,1263,938,692,547,213,273523,992,275.7288306
2,1454,1071,869,791,324,846447,1335,634.0426966
2,1194,810,600,474,156,180710,1187,152.2409436
2,1088,763,550,396,178,581607,626,929.0846645
2,817,476,339,332,176,285855,612,467.0833333
2,461,142,0,0,0,0,0,0
2,1101,790,494,400,192,231922,895,259.1307263
2,1026,802,566,498,209,270540,1043,259.3863854
2,1189,881,705,515,262,164864,1234,133.6012966
2,954,681,510,500,240,194300,793,245.0189155
2,992,669,500,350,154,296700,861,344.5993031
2,801,520,316,259,150,210842,628,335.7356688
2,407,193,0,0,0,0,0,0
2,1184,862,641,596,322,772786,1170,660.5008547
2,1080,724,561,516,160,432468,1055,409.9222749
2,1389,1050,768,745,350,548796,1390,394.8172662
2,1160,900,703,605,212,352856,997,353.9177533
2,936,720,620,465,237,592306,892,664.0201794
2,958,738,451,383,226,318630,743,428.8425303
2,469,166,0,0,0,0,0,0
2,1238,881,668,541,227,347325,706,491.9617564
2,1126,818,621,472,245,360282,1027,350.8101266
2,1227,991,767,537,285,677417,909,745.2332233
2,1081,799,563,479,239,283731,632,448.9414557
2,855,598,498,354,159,422924,537,787.5679702
2,854,521,344,313,153,176256,455,387.3758242
2,428,219,0,0,0,0,0,0
2,1144,756,554,410,127,411642,833,494.1680672
2,1020,779,535,514,205,254821,924,275.780303
2,1303,920,670,596,239,325650,735,443.0612245
2,1085,748,564,468,229,511266,847,603.6198347
2,1111,727,498,369,181,434454,741,586.3076923
2,798,474,336,309,136,216372,487,444.2956879
2,576,200,0,0,0,0,0,0
2,1168,873,688,688,206,648210,1111,583.4473447
2,987,784,647,641,256,642000,980,655.1020408
2,1483,1123,850,629,315,811440,1278,634.9295775
2,1173,914,615,523,204,343186,640,536.228125
2,1101,792,586,486,199,476016,1084,439.1291513
2,836,528,341,334,124,298442,341,875.1964809
2,480,231,0,0,0,0,0,0
2,1072,706,538,425,242,247401,555,445.7675676
2,997,676,462,370,140,164115,490,334.9285714
2,1127,836,699,622,330,215334,938,229.5671642
2,1029,750,524,466,270,275058,898,306.3006682
2,989,769,537,510,189,492252,768,640.953125
2,855,489,376,286,86,107136,448,239.1428571
